u,v,key,osmid,oneway,name,highway,length,geometry,ref,lanes,bridge,tunnel,maxspeed,access
1574729763,1584895011,0,145024008,False,장량로,secondary,144.596,"LINESTRING (129.4053035 36.0818897, 129.4036945 36.0818812)",,,,,,
1574729763,4719410631,0,145024372,False,,residential,72.253,"LINESTRING (129.4053035 36.0818897, 129.4052905 36.0825394)",,,,,,
1574729763,1584895014,0,145024008,False,장량로,secondary,158.151,"LINESTRING (129.4053035 36.0818897, 129.4060536 36.0819072, 129.406796 36.0819994, 129.4070462 36.0820514)",,,,,,
1584894915,1574729707,0,143914408,False,양덕남로,tertiary,160.415,"LINESTRING (129.3994907 36.0785505, 129.3977061 36.0785203)",,,,,,
1584894915,1584894921,0,145024005,False,장량로174번길,residential,55.49,"LINESTRING (129.3994907 36.0785505, 129.3994764 36.0790494)",,,,,,
1584894915,1584894916,0,143914408,False,양덕남로,tertiary,160.836,"LINESTRING (129.3994907 36.0785505, 129.4004994 36.0785643, 129.4012791 36.0785982)",,,,,,
1584894916,1574729709,0,143914408,False,양덕남로,tertiary,67.181,"LINESTRING (129.4012791 36.0785982, 129.4020227 36.0786602)",,,,,,
1584894916,1584894924,0,470626817,False,장량로190번길,residential,56.573,"LINESTRING (129.4012791 36.0785982, 129.4012584 36.0791067)",,,,,,
1584894916,1584894915,0,143914408,False,양덕남로,tertiary,160.836,"LINESTRING (129.4012791 36.0785982, 129.4004994 36.0785643, 129.3994907 36.0785505)",,,,,,
1584894917,1574729707,0,145024006,False,장량로158번길,residential,59.29,"LINESTRING (129.3977019 36.0790535, 129.3977061 36.0785203)",,,,,,
1584894917,1584894931,0,145024006,False,장량로158번길,residential,62.113,"LINESTRING (129.3977019 36.0790535, 129.3976894 36.079612)",,,,,,
1584894917,1584894918,0,145024017,False,,residential,50.077,"LINESTRING (129.3977019 36.0790535, 129.3982586 36.0790339)",,,,,,
1584894918,1584894955,0,145023979,False,,residential,185.823,"LINESTRING (129.3982586 36.0790339, 129.3982316 36.0807049)",,,,,,
1584894918,1584894917,0,145024017,False,,residential,50.077,"LINESTRING (129.3982586 36.0790339, 129.3977019 36.0790535)",,,,,,
1584894918,1584894919,0,145024017,False,,residential,54.57,"LINESTRING (129.3982586 36.0790339, 129.3988658 36.0790382)",,,,,,
1584894919,1584894958,0,145023981,False,,residential,186.591,"LINESTRING (129.3988658 36.0790382, 129.3988177 36.0807158)",,,,,,
1584894919,1584894918,0,145024017,False,,residential,54.57,"LINESTRING (129.3988658 36.0790382, 129.3982586 36.0790339)",,,,,,
